movement speed: 0.2 | turn speed: 0.2 | turn resolution: 0.1 | goal resolution: 0.1husky position: 0.0 , 0.0 | husky orientation: 0.0 | angle to goal: 0.0
husky position: 0.0 , 0.0 | husky orientation: -0.609555 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.609846 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61004 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.610234 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.610574 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.610768 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.611059 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61135 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.611496 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.611787 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61203 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.612224 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.612515 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61271 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.613049 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.613243 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.613438 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61368 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.613971 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.614166 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61436 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.6147 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.614894 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.615185 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.615476 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.615622 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.615913 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.616156 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61635 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.616641 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.616835 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.617175 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.617369 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.617564 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.617806 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.618097 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.618292 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.618486 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.618825 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.61902 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.619311 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.619602 | angle to goal: 1.570796
husky position: 0.0 , 0.0 | husky orientation: -0.619748 | angle to goal: 1.570796
